CameraID,Brand,Category,SubCategory,CameraType,SensorType,Resolution,VideoSystem,LensSize_mm,FieldOfView_deg,Interface,MountType,Weight_g,SupportedDroneType,IntendedUse
CAM-0001,Workswell,Cameras,UAV Camera,Gimbal Payload Camera,Sony STARVIS CMOS,20MP,DJI Digital,1.8mm,110,MIPI,Payload Mount,8,Industrial,Mapping / Survey
CAM-0002,HDZero,Cameras,UAV Camera,Digital FPV Camera,CMOS,20MP,HDZero,2.5mm,90,HDMI,Mini,5,FPV,Racing FPV
CAM-0003,NextVision,Cameras,UAV Camera,Agriculture Multispectral Camera,Sony STARVIS CMOS,48MP,Analog,4mm,120,Ethernet,Mini,250,Industrial,Infrastructure Inspection
CAM-0004,Hawkeye,Cameras,UAV Camera,Mapping Camera,CMOS,20MP,Analog,2.5mm,155,HDMI,Mini,50,FPV,Cinematic FPV
CAM-0005,Caddx,Cameras,UAV Camera,Inspection Camera,Global Shutter CMOS,48MP,Standalone Payload,2.1mm,165,USB,Micro,35,FPV,Cinematic FPV
CAM-0006,Caddx,Cameras,UAV Camera,Gimbal Payload Camera,Global Shutter CMOS,2K,Walksnail Avatar,2.5mm,120,Ethernet,Payload Mount,250,Industrial,Mapping / Survey
CAM-0007,NextVision,Cameras,UAV Camera,Digital FPV Camera,Sony STARVIS CMOS,24MP,Standalone Payload,6mm,140,USB,Mini,10,Agricultural,Crop Health Monitoring
CAM-0008,Caddx,Cameras,UAV Camera,Mapping Camera,Sony STARVIS CMOS,20MP,Standalone Payload,2.5mm,90,CVBS,Mini,50,Industrial,Infrastructure Inspection
CAM-0009,Walksnail,Cameras,UAV Camera,Inspection Camera,Thermal Sensor,12MP,HDZero,2.5mm,120,MIPI,Micro,10,Agricultural,Crop Health Monitoring
CAM-0010,Sentera,Cameras,UAV Camera,Gimbal Payload Camera,Thermal Sensor,24MP,Walksnail Avatar,3.6mm,110,Ethernet,Nano,10,Industrial,Infrastructure Inspection
CAM-0011,Walksnail,Cameras,UAV Camera,Digital FPV Camera,Thermal Sensor,2K,Walksnail Avatar,2.1mm,165,HDMI,Micro,250,Agricultural,Crop Health Monitoring
CAM-0012,Viewpro,Cameras,UAV Camera,Thermal Camera,Thermal Sensor,48MP,Standalone Payload,2.8mm,140,CVBS,Micro,15,FPV,Cinematic FPV
CAM-0013,Workswell,Cameras,UAV Camera,Gimbal Payload Camera,CMOS,1080p,HDZero,2.5mm,120,MIPI,Mini,20,FPV,Cinematic FPV
CAM-0014,Gremsy,Cameras,UAV Camera,Digital FPV Camera,CMOS,20MP,Walksnail Avatar,2.8mm,140,MIPI,Mini,250,Industrial,Infrastructure Inspection
CAM-0015,HDZero,Cameras,UAV Camera,FPV Camera,CMOS,48MP,DJI Digital,4mm,165,Ethernet,Gimbal Mount,20,FPV,Freestyle FPV
CAM-0016,RunCam,Cameras,UAV Camera,Agriculture Multispectral Camera,Thermal Sensor,12MP,Standalone Payload,6mm,155,MIPI,Gimbal Mount,20,Industrial,Mapping / Survey
CAM-0017,HDZero,Cameras,UAV Camera,Thermal Camera,Thermal Sensor,4K,Walksnail Avatar,1.8mm,110,Ethernet,Gimbal Mount,8,FPV,Racing FPV
CAM-0018,NextVision,Cameras,UAV Camera,Mapping Camera,Global Shutter CMOS,1080p,DJI Digital,6mm,120,HDMI,Micro,450,Agricultural,Agriculture Survey
CAM-0019,Viewpro,Cameras,UAV Camera,Agriculture Multispectral Camera,Global Shutter CMOS,20MP,HDZero,2.5mm,165,HDMI,Nano,8,FPV,Racing FPV
CAM-0020,DJI,Cameras,UAV Camera,Gimbal Payload Camera,Multispectral Sensor,20MP,DJI Digital,2.8mm,110,HDMI,Micro,35,Agricultural,Crop Health Monitoring
CAM-0021,NextVision,Cameras,UAV Camera,Mapping Camera,Global Shutter CMOS,1080p,HDZero,6mm,165,Ethernet,Payload Mount,50,Industrial,Mapping / Survey
CAM-0022,Workswell,Cameras,UAV Camera,Agriculture Multispectral Camera,Thermal Sensor,20MP,Analog,1.8mm,90,USB,Micro,120,Agricultural,Agriculture Survey
CAM-0023,SIYI,Cameras,UAV Camera,Inspection Camera,Multispectral Sensor,48MP,Analog,1.8mm,140,CVBS,Nano,120,Agricultural,Crop Health Monitoring
CAM-0024,Sentera,Cameras,UAV Camera,Digital FPV Camera,Thermal Sensor,1080p,Analog,4mm,110,CVBS,Mini,250,FPV,Freestyle FPV
CAM-0025,Walksnail,Cameras,UAV Camera,Inspection Camera,Sony STARVIS CMOS,1080p,Walksnail Avatar,4mm,155,MIPI,Nano,35,FPV,Freestyle FPV
CAM-0026,Caddx,Cameras,UAV Camera,Agriculture Multispectral Camera,Global Shutter CMOS,20MP,Analog,4mm,140,CVBS,Payload Mount,5,Industrial,Mapping / Survey
CAM-0027,Foxeer,Cameras,UAV Camera,Gimbal Payload Camera,CMOS,720p,Standalone Payload,12mm,110,HDMI,Mini,10,Industrial,Infrastructure Inspection
CAM-0028,Hawkeye,Cameras,UAV Camera,FPV Camera,Sony STARVIS CMOS,4K,Walksnail Avatar,4mm,110,HDMI,Mini,35,Industrial,Infrastructure Inspection
CAM-0029,SIYI,Cameras,UAV Camera,Inspection Camera,CMOS,48MP,Walksnail Avatar,2.8mm,155,USB,Mini,15,Agricultural,Crop Health Monitoring
CAM-0030,Walksnail,Cameras,UAV Camera,FPV Camera,CMOS,720p,Analog,3.6mm,90,HDMI,Gimbal Mount,120,Agricultural,Agriculture Survey
CAM-0031,Gremsy,Cameras,UAV Camera,Mapping Camera,Thermal Sensor,24MP,Analog,1.8mm,155,Ethernet,Nano,50,FPV,Cinematic FPV
CAM-0032,Caddx,Cameras,UAV Camera,Mapping Camera,Global Shutter CMOS,1080p,Standalone Payload,3.6mm,165,CVBS,Micro,10,Industrial,Infrastructure Inspection
CAM-0033,RunCam,Cameras,UAV Camera,Mapping Camera,Global Shutter CMOS,48MP,HDZero,1.8mm,155,Ethernet,Mini,50,FPV,Freestyle FPV
CAM-0034,Workswell,Cameras,UAV Camera,Gimbal Payload Camera,Sony STARVIS CMOS,12MP,HDZero,2.8mm,90,USB,Nano,450,FPV,Racing FPV
CAM-0035,DJI,Cameras,UAV Camera,Mapping Camera,CMOS,1080p,Analog,3.6mm,110,Ethernet,Mini,15,FPV,Cinematic FPV
CAM-0036,HDZero,Cameras,UAV Camera,Gimbal Payload Camera,Global Shutter CMOS,720p,Walksnail Avatar,2.8mm,140,USB,Micro,15,FPV,Racing FPV
CAM-0037,Foxeer,Cameras,UAV Camera,Mapping Camera,Multispectral Sensor,2K,Analog,2.5mm,110,USB,Mini,35,Agricultural,Agriculture Survey
CAM-0038,Sentera,Cameras,UAV Camera,Gimbal Payload Camera,Multispectral Sensor,12MP,Standalone Payload,2.8mm,165,MIPI,Micro,8,FPV,Racing FPV
CAM-0039,Viewpro,Cameras,UAV Camera,Digital FPV Camera,Multispectral Sensor,24MP,DJI Digital,6mm,140,HDMI,Nano,35,Industrial,Mapping / Survey
CAM-0040,Sentera,Cameras,UAV Camera,Gimbal Payload Camera,Multispectral Sensor,1080p,Walksnail Avatar,4mm,155,USB,Payload Mount,15,FPV,Freestyle FPV
CAM-0041,SIYI,Cameras,UAV Camera,FPV Camera,Thermal Sensor,20MP,Walksnail Avatar,2.5mm,165,HDMI,Nano,10,FPV,Cinematic FPV
CAM-0042,Workswell,Cameras,UAV Camera,Thermal Camera,Multispectral Sensor,720p,Walksnail Avatar,2.1mm,120,USB,Gimbal Mount,250,FPV,Racing FPV
CAM-0043,DJI,Cameras,UAV Camera,Agriculture Multispectral Camera,CMOS,1080p,Standalone Payload,2.5mm,110,USB,Mini,250,Agricultural,Agriculture Survey
CAM-0044,Foxeer,Cameras,UAV Camera,Agriculture Multispectral Camera,Multispectral Sensor,1080p,Walksnail Avatar,3.6mm,110,CVBS,Mini,5,Industrial,Mapping / Survey
CAM-0045,HDZero,Cameras,UAV Camera,Inspection Camera,Thermal Sensor,12MP,Walksnail Avatar,2.5mm,155,CVBS,Micro,250,FPV,Racing FPV
CAM-0046,RunCam,Cameras,UAV Camera,Digital FPV Camera,CMOS,720p,DJI Digital,6mm,155,USB,Mini,450,Agricultural,Agriculture Survey
CAM-0047,Gremsy,Cameras,UAV Camera,Gimbal Payload Camera,Global Shutter CMOS,12MP,DJI Digital,3.6mm,155,Ethernet,Micro,450,Agricultural,Crop Health Monitoring
CAM-0048,MicaSense,Cameras,UAV Camera,Mapping Camera,Multispectral Sensor,720p,HDZero,4mm,110,CVBS,Nano,250,Industrial,Mapping / Survey
CAM-0049,Workswell,Cameras,UAV Camera,Mapping Camera,Global Shutter CMOS,48MP,HDZero,2.1mm,165,USB,Micro,20,FPV,Racing FPV
CAM-0050,RunCam,Cameras,UAV Camera,Digital FPV Camera,Multispectral Sensor,48MP,DJI Digital,6mm,110,MIPI,Micro,120,FPV,Racing FPV
CAM-0051,Viewpro,Cameras,UAV Camera,Mapping Camera,Global Shutter CMOS,20MP,Standalone Payload,3.6mm,120,CVBS,Gimbal Mount,250,FPV,Racing FPV
CAM-0052,Gremsy,Cameras,UAV Camera,Mapping Camera,Thermal Sensor,2K,HDZero,2.1mm,120,HDMI,Mini,250,Industrial,Infrastructure Inspection
CAM-0053,Viewpro,Cameras,UAV Camera,Digital FPV Camera,Global Shutter CMOS,12MP,HDZero,2.8mm,165,CVBS,Gimbal Mount,35,Agricultural,Crop Health Monitoring
CAM-0054,NextVision,Cameras,UAV Camera,Gimbal Payload Camera,Sony STARVIS CMOS,12MP,Standalone Payload,1.8mm,165,USB,Micro,120,Agricultural,Crop Health Monitoring
CAM-0055,RunCam,Cameras,UAV Camera,Mapping Camera,Thermal Sensor,48MP,HDZero,1.8mm,155,USB,Payload Mount,120,Industrial,Mapping / Survey
CAM-0056,MicaSense,Cameras,UAV Camera,FPV Camera,Multispectral Sensor,24MP,Walksnail Avatar,2.1mm,90,USB,Payload Mount,120,Industrial,Mapping / Survey
CAM-0057,Caddx,Cameras,UAV Camera,Digital FPV Camera,CMOS,24MP,Analog,2.8mm,110,MIPI,Payload Mount,35,FPV,Racing FPV
CAM-0058,DJI,Cameras,UAV Camera,Digital FPV Camera,Thermal Sensor,48MP,Walksnail Avatar,2.8mm,120,Ethernet,Micro,8,FPV,Freestyle FPV
CAM-0059,Caddx,Cameras,UAV Camera,Gimbal Payload Camera,Sony STARVIS CMOS,12MP,Standalone Payload,6mm,120,Ethernet,Payload Mount,120,Agricultural,Crop Health Monitoring
CAM-0060,Walksnail,Cameras,UAV Camera,Thermal Camera,Multispectral Sensor,720p,Analog,3.6mm,165,HDMI,Micro,250,Agricultural,Crop Health Monitoring
CAM-0061,Gremsy,Cameras,UAV Camera,Digital FPV Camera,Global Shutter CMOS,720p,Analog,1.8mm,90,MIPI,Mini,35,Agricultural,Crop Health Monitoring
CAM-0062,Walksnail,Cameras,UAV Camera,Digital FPV Camera,Thermal Sensor,2K,Walksnail Avatar,3.6mm,155,Ethernet,Mini,15,Agricultural,Agriculture Survey
CAM-0063,Foxeer,Cameras,UAV Camera,Agriculture Multispectral Camera,Multispectral Sensor,1080p,Standalone Payload,2.8mm,120,CVBS,Payload Mount,5,FPV,Cinematic FPV
CAM-0064,Workswell,Cameras,UAV Camera,Digital FPV Camera,Sony STARVIS CMOS,4K,HDZero,3.6mm,110,MIPI,Nano,5,Agricultural,Crop Health Monitoring
CAM-0065,MicaSense,Cameras,UAV Camera,Gimbal Payload Camera,Multispectral Sensor,4K,HDZero,2.1mm,120,MIPI,Gimbal Mount,250,Industrial,Mapping / Survey
CAM-0066,NextVision,Cameras,UAV Camera,Inspection Camera,Global Shutter CMOS,720p,DJI Digital,1.8mm,120,MIPI,Micro,120,FPV,Racing FPV
CAM-0067,NextVision,Cameras,UAV Camera,Inspection Camera,Multispectral Sensor,48MP,HDZero,6mm,110,USB,Micro,5,Agricultural,Crop Health Monitoring
CAM-0068,Walksnail,Cameras,UAV Camera,Mapping Camera,Global Shutter CMOS,20MP,HDZero,2.1mm,140,USB,Nano,450,FPV,Freestyle FPV
CAM-0069,DJI,Cameras,UAV Camera,Agriculture Multispectral Camera,Multispectral Sensor,2K,Standalone Payload,4mm,120,MIPI,Nano,450,Agricultural,Agriculture Survey
CAM-0070,Walksnail,Cameras,UAV Camera,FPV Camera,Thermal Sensor,20MP,Walksnail Avatar,4mm,90,Ethernet,Mini,250,FPV,Racing FPV
CAM-0071,Sentera,Cameras,UAV Camera,Agriculture Multispectral Camera,Sony STARVIS CMOS,24MP,Standalone Payload,2.8mm,120,MIPI,Mini,120,FPV,Racing FPV
CAM-0072,NextVision,Cameras,UAV Camera,Gimbal Payload Camera,Global Shutter CMOS,20MP,Analog,2.5mm,110,CVBS,Payload Mount,10,Agricultural,Agriculture Survey
CAM-0073,Walksnail,Cameras,UAV Camera,Inspection Camera,Global Shutter CMOS,20MP,HDZero,3.6mm,165,Ethernet,Nano,35,Industrial,Infrastructure Inspection
CAM-0074,Sentera,Cameras,UAV Camera,Mapping Camera,Thermal Sensor,48MP,HDZero,12mm,140,CVBS,Gimbal Mount,15,FPV,Freestyle FPV
CAM-0075,Hawkeye,Cameras,UAV Camera,Agriculture Multispectral Camera,Global Shutter CMOS,720p,Walksnail Avatar,3.6mm,140,CVBS,Payload Mount,20,Industrial,Infrastructure Inspection
CAM-0076,Workswell,Cameras,UAV Camera,Agriculture Multispectral Camera,Thermal Sensor,4K,Analog,2.8mm,120,CVBS,Payload Mount,10,FPV,Cinematic FPV
CAM-0077,Foxeer,Cameras,UAV Camera,Thermal Camera,Sony STARVIS CMOS,1080p,HDZero,2.5mm,140,CVBS,Mini,20,FPV,Cinematic FPV
CAM-0078,RunCam,Cameras,UAV Camera,Thermal Camera,CMOS,1080p,Standalone Payload,2.1mm,140,Ethernet,Gimbal Mount,35,FPV,Cinematic FPV
CAM-0079,Foxeer,Cameras,UAV Camera,Agriculture Multispectral Camera,Thermal Sensor,12MP,Analog,6mm,155,CVBS,Payload Mount,450,Agricultural,Crop Health Monitoring
CAM-0080,MicaSense,Cameras,UAV Camera,FPV Camera,Sony STARVIS CMOS,2K,DJI Digital,4mm,110,HDMI,Nano,10,Industrial,Mapping / Survey
CAM-0081,NextVision,Cameras,UAV Camera,Inspection Camera,Thermal Sensor,24MP,Standalone Payload,2.8mm,90,USB,Nano,5,Industrial,Infrastructure Inspection
CAM-0082,DJI,Cameras,UAV Camera,FPV Camera,CMOS,20MP,HDZero,3.6mm,165,USB,Micro,250,FPV,Racing FPV
CAM-0083,Walksnail,Cameras,UAV Camera,Digital FPV Camera,Global Shutter CMOS,20MP,HDZero,3.6mm,120,CVBS,Mini,15,Industrial,Infrastructure Inspection
CAM-0084,Workswell,Cameras,UAV Camera,Gimbal Payload Camera,Global Shutter CMOS,20MP,DJI Digital,12mm,140,CVBS,Nano,450,FPV,Cinematic FPV
CAM-0085,DJI,Cameras,UAV Camera,Inspection Camera,Thermal Sensor,720p,Walksnail Avatar,2.8mm,155,USB,Gimbal Mount,10,Industrial,Mapping / Survey
CAM-0086,Foxeer,Cameras,UAV Camera,Inspection Camera,Thermal Sensor,2K,DJI Digital,6mm,155,HDMI,Nano,120,FPV,Racing FPV
CAM-0087,Gremsy,Cameras,UAV Camera,Gimbal Payload Camera,Sony STARVIS CMOS,4K,Walksnail Avatar,1.8mm,155,MIPI,Mini,8,Agricultural,Agriculture Survey
CAM-0088,NextVision,Cameras,UAV Camera,Mapping Camera,Thermal Sensor,2K,HDZero,2.1mm,120,Ethernet,Gimbal Mount,50,FPV,Cinematic FPV
CAM-0089,Hawkeye,Cameras,UAV Camera,Thermal Camera,Sony STARVIS CMOS,48MP,Standalone Payload,2.1mm,110,CVBS,Gimbal Mount,20,Industrial,Mapping / Survey
CAM-0090,Foxeer,Cameras,UAV Camera,Inspection Camera,Global Shutter CMOS,12MP,HDZero,1.8mm,120,Ethernet,Payload Mount,450,Agricultural,Crop Health Monitoring
CAM-0091,Viewpro,Cameras,UAV Camera,Gimbal Payload Camera,CMOS,2K,Analog,3.6mm,120,CVBS,Payload Mount,5,Industrial,Infrastructure Inspection
CAM-0092,Walksnail,Cameras,UAV Camera,Inspection Camera,Thermal Sensor,1080p,HDZero,2.5mm,110,USB,Payload Mount,15,FPV,Cinematic FPV
CAM-0093,Hawkeye,Cameras,UAV Camera,Agriculture Multispectral Camera,Thermal Sensor,720p,Analog,2.8mm,90,MIPI,Mini,50,FPV,Cinematic FPV
CAM-0094,NextVision,Cameras,UAV Camera,Digital FPV Camera,Global Shutter CMOS,12MP,Standalone Payload,6mm,110,USB,Mini,50,Agricultural,Agriculture Survey
CAM-0095,Gremsy,Cameras,UAV Camera,Mapping Camera,CMOS,720p,Walksnail Avatar,3.6mm,165,USB,Micro,20,Industrial,Infrastructure Inspection
CAM-0096,NextVision,Cameras,UAV Camera,FPV Camera,CMOS,720p,Walksnail Avatar,6mm,140,USB,Micro,50,FPV,Cinematic FPV
CAM-0097,Walksnail,Cameras,UAV Camera,Mapping Camera,Sony STARVIS CMOS,48MP,HDZero,1.8mm,165,Ethernet,Mini,5,FPV,Racing FPV
CAM-0098,Workswell,Cameras,UAV Camera,Inspection Camera,Thermal Sensor,12MP,Analog,2.8mm,120,CVBS,Nano,50,Industrial,Infrastructure Inspection
CAM-0099,NextVision,Cameras,UAV Camera,Inspection Camera,CMOS,1080p,Standalone Payload,12mm,110,CVBS,Gimbal Mount,50,Agricultural,Crop Health Monitoring
CAM-0100,Gremsy,Cameras,UAV Camera,Digital FPV Camera,Sony STARVIS CMOS,20MP,Walksnail Avatar,12mm,155,CVBS,Payload Mount,50,Agricultural,Crop Health Monitoring
CAM-0101,MicaSense,Cameras,UAV Camera,Agriculture Multispectral Camera,CMOS,4K,HDZero,2.8mm,120,CVBS,Gimbal Mount,120,Agricultural,Agriculture Survey
CAM-0102,Workswell,Cameras,UAV Camera,Digital FPV Camera,CMOS,12MP,Walksnail Avatar,4mm,155,CVBS,Nano,50,FPV,Cinematic FPV
CAM-0103,RunCam,Cameras,UAV Camera,Gimbal Payload Camera,Sony STARVIS CMOS,4K,Walksnail Avatar,6mm,120,Ethernet,Mini,35,Industrial,Mapping / Survey
CAM-0104,Gremsy,Cameras,UAV Camera,Agriculture Multispectral Camera,Global Shutter CMOS,2K,Walksnail Avatar,2.5mm,120,Ethernet,Micro,450,FPV,Cinematic FPV
CAM-0105,Viewpro,Cameras,UAV Camera,Inspection Camera,Global Shutter CMOS,720p,DJI Digital,2.1mm,120,Ethernet,Gimbal Mount,10,Industrial,Infrastructure Inspection
CAM-0106,Sentera,Cameras,UAV Camera,FPV Camera,Global Shutter CMOS,12MP,HDZero,2.8mm,120,MIPI,Mini,15,Industrial,Mapping / Survey
CAM-0107,Walksnail,Cameras,UAV Camera,Gimbal Payload Camera,Multispectral Sensor,24MP,Analog,2.8mm,155,HDMI,Mini,250,FPV,Freestyle FPV
CAM-0108,Hawkeye,Cameras,UAV Camera,Thermal Camera,Sony STARVIS CMOS,12MP,Walksnail Avatar,3.6mm,140,MIPI,Gimbal Mount,20,Agricultural,Agriculture Survey
CAM-0109,Foxeer,Cameras,UAV Camera,Mapping Camera,Multispectral Sensor,720p,DJI Digital,2.1mm,165,Ethernet,Mini,50,FPV,Racing FPV
CAM-0110,Caddx,Cameras,UAV Camera,Agriculture Multispectral Camera,CMOS,12MP,Walksnail Avatar,4mm,165,HDMI,Micro,120,FPV,Racing FPV
CAM-0111,Sentera,Cameras,UAV Camera,Digital FPV Camera,Sony STARVIS CMOS,2K,Walksnail Avatar,2.8mm,155,Ethernet,Gimbal Mount,15,Agricultural,Crop Health Monitoring
CAM-0112,DJI,Cameras,UAV Camera,FPV Camera,Multispectral Sensor,4K,DJI Digital,1.8mm,140,USB,Nano,250,Agricultural,Agriculture Survey
CAM-0113,RunCam,Cameras,UAV Camera,Agriculture Multispectral Camera,CMOS,720p,Walksnail Avatar,1.8mm,140,MIPI,Mini,15,FPV,Freestyle FPV
