Country,BasePlatformID,PlatformName,VariantName,VariantType,Manufacturer,Sector,DroneClass,RolePrimary,RoleSecondary,LaunchType,RecoveryType,PropulsionType,Wingspan_m,MTOW_kg,MaxPayload_kg,Endurance_hr,OperationalRange_km,DataLinkRange_km,CruiseSpeed_kmh,MaxSpeed_kmh,ServiceCeiling_m,PowerSource,ArmamentCapable,SensorTypes,IntroductionYear,Status,Notes
China,CN_WINGLOONG1,Wing Loong I,Wing Loong I,Production Variant,AVIC,Military,MALE,ISR,Strike,Runway,Runway,Propeller,14,1100,200,20,400,N/A,150,280,7500,Internal Fuel,Yes,EO/IR,2015,Active,Export-oriented MALE UAV
China,CN_WINGLOONG2,Wing Loong II,Wing Loong II,Production Variant,AVIC,Military,MALE,ISR,Strike,Runway,Runway,Propeller,20.5,4200,480,32,1500,N/A,180,370,9000,Internal Fuel,Yes,EO/IR SAR,2017,Active,Heavier MALE platform
China,CN_CH4,CH-4,CH-4B,Strike Variant,CASC,Military,MALE,ISR,Strike,Runway,Runway,Propeller,18,1330,345,40,5000,N/A,150,230,7000,Internal Fuel,Yes,EO/IR SAR,2014,Active,Long endurance variant
China,CN_CH5,CH-5,CH-5,Heavy Variant,CASC,Military,HALE,ISR,Strike,Runway,Runway,Propeller,21,3300,1000,60,6000,N/A,180,220,N/A,Internal Fuel,Yes,EO/IR SAR,2017,Active,Heavy long-endurance UAV
China,CN_WZ7,WZ-7 Soaring Dragon,WZ-7,Production Variant,AVIC,Military,HALE,ISR,Surveillance,Runway,Runway,Jet,N/A,7500,N/A,10,N/A,N/A,750,N/A,18000,Jet Fuel,No,EO/IR SAR,2018,Active,High-altitude ISR UAV
China,CN_WZ8,WZ-8,WZ-8,Production Variant,AVIC,Military,HALE,ISR,Reconnaissance,Air Launch,N/A,Jet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jet Fuel,No,N/A,2019,Active,High-speed reconnaissance UAV
China,CN_GJ11,GJ-11 Sharp Sword,GJ-11,Production Variant,AVIC,Military,UCAV,Strike,ISR,Runway,Runway,Jet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jet Fuel,Yes,N/A,2019,Active,Stealth flying-wing UCAV
China,CN_CH3,CH-3,CH-3A,Production Variant,CASC,Military,Tactical,ISR,Strike,Runway,Runway,Propeller,8,650,60,12,200,N/A,150,180,5000,Internal Fuel,Yes,EO/IR,2011,Active,Early armed tactical UAV
China,CN_WJ600,WJ-600,WJ-600,Production Variant,AVIC,Military,Tactical,ISR,Strike,Truck Launch,Parachute,Jet,N/A,N/A,N/A,4,200,N/A,700,N/A,N/A,Jet Fuel,Yes,N/A,2010,Active,High-speed tactical UAV
China,CN_BZK005,BZK-005,BZK-005,Production Variant,Harbin Aircraft,Military,Tactical,ISR,Surveillance,Runway,Runway,Propeller,10,1200,N/A,40,2400,N/A,150,200,8000,Internal Fuel,No,EO/IR SAR,2007,Active,Long-range ISR UAV
China,CN_ASN209,ASN-209,ASN-209,Production Variant,AVIC,Military,Small Tactical,ISR,None,Catapult,Parachute,Propeller,4,22,N/A,8,50,N/A,90,120,3000,Fuel,No,EO/IR,2009,Active,Battalion-level UAV
China,CN_ASN15,ASN-15,ASN-15,Production Variant,AVIC,Military,Small Tactical,ISR,None,Catapult,Parachute,Propeller,N/A,15,N/A,6,40,N/A,80,120,3000,Fuel,No,EO/IR,2012,Active,Short-range ISR UAV
China,CN_CH901,CH-901,CH-901,Production Variant,CASC,Military,Loitering Munition,Strike,None,Tube Launch,Impact,Electric,N/A,9,N/A,120,15,N/A,80,120,N/A,Battery,Yes,EO,2017,Active,Swarm-capable loitering munition
China,CN_WJ700,WJ-700,WJ-700,Production Variant,AVIC,Military,Loitering Munition,Strike,ISR,Runway,Impact,Jet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jet Fuel,Yes,N/A,2020,Active,Long-range strike UAV
