Country,BasePlatformID,PlatformName,VariantName,VariantType,Manufacturer,Sector,DroneClass,RolePrimary,RoleSecondary,LaunchType,RecoveryType,PropulsionType,Wingspan_m,MTOW_kg,MaxPayload_kg,Endurance_hr,OperationalRange_km,DataLinkRange_km,CruiseSpeed_kmh,MaxSpeed_kmh,ServiceCeiling_m,PowerSource,ArmamentCapable,SensorTypes,IntroductionYear,Status,Notes
Pakistan,PK_BURRAQ,Burraq,Burraq,Production Variant,NESCOM,Military,MALE,ISR,Strike,Runway,Runway,Propeller,N/A,1200,N/A,12,1000,N/A,150,220,7500,Internal Fuel,Yes,EO/IR,2015,Active,First armed Pakistani UAV
Pakistan,PK_SHAHPAR2,Shahpar-II,Shahpar-II,Production Variant,GIDS,Military,MALE,ISR,Strike,Runway,Runway,Propeller,14,1500,400,25,1000,N/A,160,220,8500,Internal Fuel,Yes,EO/IR SAR,2021,Active,Long-endurance indigenous UAV
Pakistan,PK_CH4,CH-4,CH-4B,Strike Variant,CASC,Military,MALE,ISR,Strike,Runway,Runway,Propeller,18,1330,345,40,5000,N/A,150,230,7000,Internal Fuel,Yes,EO/IR SAR,2016,Active,Chinese-origin MALE UAV
Pakistan,PK_UQAB,Uqab,Uqab,Production Variant,Global Industrial & Defence Solutions,Military,Tactical,ISR,None,Catapult,Parachute,Propeller,4.2,45,N/A,6,100,N/A,90,130,4000,Internal Fuel,No,EO/IR,2007,Active,Battalion-level ISR UAV
Pakistan,PK_JASUS,JASUS,JASUS,Production Variant,Pakistan Aeronautical Complex,Military,Tactical,ISR,None,Catapult,Parachute,Propeller,N/A,45,N/A,6,100,N/A,90,130,4000,Internal Fuel,No,EO/IR,2006,Active,Tactical reconnaissance UAV
Pakistan,PK_SAABER,Saaber,Saaber,Production Variant,GIDS,Military,Tactical,ISR,None,Catapult,Parachute,Propeller,N/A,55,N/A,8,150,N/A,100,150,5000,Internal Fuel,No,EO/IR,2018,Active,Short-range tactical UAV
Pakistan,PK_HUMA,Huma,Huma,Production Variant,NESCOM,Military,Small Tactical,ISR,None,Hand Launch,Belly Landing,Electric,N/A,6,N/A,60,15,N/A,50,80,1000,Battery,No,EO/IR,2010,Active,Infantry ISR UAV
Pakistan,PK_SPYDER,Spyder,Spyder,Production Variant,GIDS,Military,Micro,ISR,None,Hand Launch,Belly Landing,Electric,N/A,3,N/A,45,10,N/A,40,65,600,Battery,No,EO/IR,2016,Active,Short-range surveillance UAV
Pakistan,PK_NAZR,Nazr,Nazr,Production Variant,GIDS,Military,Loitering Munition,Strike,None,Tube Launch,Impact,Electric,N/A,5,N/A,30,15,N/A,80,120,N/A,Battery,Yes,EO,2021,Active,Man-portable loitering munition
Pakistan,PK_KAMIKAZE,Kamikaze UAV,Kamikaze UAV,Production Variant,Pakistani Industry,Military,Loitering Munition,Strike,None,Catapult,Impact,Propeller,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal Fuel,Yes,N/A,2022,Active,Publicly displayed one-way UAV
Pakistan,PK_ABABEEL_TGT,Ababeel-T,Ababeel-T,Target Variant,PAC,Military,Target Drone,Training,Test,Runway,Runway,Jet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jet Fuel,No,N/A,2008,Active,Air-defense training target
