DroneID,Brand,Category,SubCategory,DroneType,BuildLevel,FrameSize_Inch,Wheelbase_mm,MotorSize,PropellerSize,BatterySpec,FlightController,Firmware,PayloadSupport,MaxTakeoffWeight_kg,IntendedUse,Notes
DRN-0001,iFlight,Kits & RTF,FPV RTF,Freestyle FPV,RTF,5,225,2207,5x4.3,6S LiPo,BetaFlight FC,BetaFlight,Action Camera,1.2,Freestyle FPV,Popular beginner RTF
DRN-0002,GEPRC,Kits & RTF,FPV RTF,Freestyle FPV,RTF,5,225,2207,5x4.5,6S LiPo,BetaFlight FC,BetaFlight,Action Camera,1.3,Freestyle FPV,Smooth flight tuning
DRN-0003,Diatone,Kits & RTF,FPV RTF,Freestyle FPV,RTF,5,230,2306,5x4.6,6S LiPo,BetaFlight FC,BetaFlight,Action Camera,1.4,Freestyle FPV,Durable freestyle RTF
DRN-0004,Armattan,Kits & RTF,FPV Kit,Freestyle FPV,Kit,5,220,Custom,5x4.3,6S LiPo,User Choice,User Choice,Action Camera,1.3,Freestyle FPV,Build-it-yourself kit
DRN-0005,ImpulseRC,Kits & RTF,FPV Kit,Freestyle FPV,Kit,5,220,Custom,5x4.3,6S LiPo,User Choice,User Choice,Action Camera,1.3,Freestyle FPV,Premium FPV kit
DRN-0006,BetaFPV,Kits & RTF,FPV RTF,Whoop FPV,RTF,2,75,802,40mm,1S Li-ion,AIO FC,BetaFlight,None,0.2,Training FPV,Beginner whoop RTF
DRN-0007,Happymodel,Kits & RTF,FPV RTF,Whoop FPV,RTF,2,75,802,40mm,1S Li-ion,AIO FC,BetaFlight,None,0.2,Indoor FPV,Micro indoor drone
DRN-0008,Flywoo,Kits & RTF,FPV RTF,Cinewhoop FPV,RTF,3.5,135,1404,3.5in,4S LiPo,BetaFlight FC,BetaFlight,Naked Camera,0.7,Cinematic FPV,Smooth cinematic flight
DRN-0009,iFlight,Kits & RTF,FPV RTF,Cinewhoop FPV,RTF,3.5,130,1507,3.5in,4S LiPo,BetaFlight FC,BetaFlight,Naked Camera,0.8,Cinematic FPV,Indoor/outdoor cine
DRN-0010,GEPRC,Kits & RTF,FPV RTF,Cinewhoop FPV,RTF,3,120,1404,3in,4S LiPo,BetaFlight FC,BetaFlight,Naked Camera,0.6,Cinematic FPV,Compact cine RTF
DRN-0011,iFlight,Kits & RTF,FPV RTF,Long Range FPV,RTF,7,295,2806,7in,6S LiPo,BetaFlight FC,BetaFlight,Action Camera,2,Long Range FPV,Explorer style LR
DRN-0012,Flywoo,Kits & RTF,FPV RTF,Long Range FPV,RTF,7,300,2806,7in,6S LiPo,BetaFlight FC,BetaFlight,Action Camera,2.1,Explorer FPV,Long endurance tuning
DRN-0013,GEPRC,Kits & RTF,FPV RTF,Long Range FPV,RTF,10,420,3110,10in,6S LiPo,BetaFlight FC,BetaFlight,Action Camera,3.5,Ultra Long Range,Heavy LR platform
DRN-0014,Reptile,Kits & RTF,FPV Kit,Long Range FPV,Kit,10,450,Custom,10in,6S LiPo,User Choice,User Choice,Action Camera,3.5,Explorer FPV,Foldable LR kit
DRN-0015,Custom,Kits & RTF,FPV Kit,Endurance FPV,Kit,9,380,Custom,9in,6S LiPo,User Choice,User Choice,Action Camera,3,Endurance FPV,Endurance-focused kit
DRN-0016,Skydio,Kits & RTF,Industrial RTF,Inspection UAV,RTF,Custom,650,Proprietary,Proprietary,Smart Battery,Autopilot,Custom,None,1.5,Inspection UAV,Autonomous obstacle avoidance
DRN-0017,DJI,Kits & RTF,Industrial RTF,Survey UAV,RTF,Custom,350,Proprietary,Proprietary,Smart Battery,Autopilot,Custom,Gimbal Camera,1,Survey UAV,Enterprise mapping
DRN-0018,Autel,Kits & RTF,Industrial RTF,Survey UAV,RTF,Custom,360,Proprietary,Proprietary,Smart Battery,Autopilot,Custom,Gimbal Camera,1.1,Survey UAV,Survey and mapping
DRN-0019,Parrot,Kits & RTF,Industrial RTF,Mapping UAV,RTF,Custom,400,Proprietary,Proprietary,Smart Battery,Autopilot,Custom,Gimbal Camera,1.2,Mapping UAV,Lightweight mapper
DRN-0020,Yuneec,Kits & RTF,Industrial RTF,Inspection UAV,RTF,Custom,450,Proprietary,Proprietary,Smart Battery,Autopilot,Custom,Gimbal Camera,1.6,Inspection UAV,Stable inspection drone
DRN-0021,Holybro,Kits & RTF,Industrial Kit,Survey UAV,Kit,Custom,450,User Choice,Custom,LiPo/Li-ion,Pixhawk,ArduPilot,Gimbal/Camera,2.5,Survey UAV,Pixhawk starter kit
DRN-0022,CUAV,Kits & RTF,Industrial Kit,Mapping UAV,Kit,Custom,500,User Choice,Custom,LiPo/Li-ion,Pixhawk,ArduPilot,Gimbal/Camera,3,Mapping UAV,Enterprise DIY kit
DRN-0023,Custom,Kits & RTF,Industrial Kit,Inspection UAV,Kit,Custom,600,User Choice,Custom,LiPo/Li-ion,Pixhawk,ArduPilot,Gimbal/Camera,3.5,Inspection UAV,Inspection starter kit
DRN-0024,Custom,Kits & RTF,Industrial Kit,Delivery UAV,Kit,Custom,800,User Choice,Custom,LiPo/Li-ion,Pixhawk,ArduPilot,Cargo Hook,5,Delivery UAV,Delivery platform kit
DRN-0025,Custom,Kits & RTF,Industrial Kit,Heavy Lift UAV,Kit,Custom,1000,User Choice,Custom,LiPo/Li-ion,Pixhawk,ArduPilot,Payload Mount,8,Heavy Lift,Heavy lift DIY
DRN-0026,Custom,Kits & RTF,Agriculture RTF,Sprayer UAV,RTF,Custom,1600,Proprietary,Custom,Smart Battery,Autopilot,Custom,Spray Tank,15,Agriculture UAV,Crop spraying
DRN-0027,Custom,Kits & RTF,Agriculture RTF,Sprayer UAV,RTF,Custom,1800,Proprietary,Custom,Smart Battery,Autopilot,Custom,Spray Tank,20,Agriculture UAV,Large farm use
DRN-0028,Custom,Kits & RTF,Agriculture Kit,Sprayer UAV,Kit,Custom,2000,User Choice,Custom,Li-ion,Autopilot,Custom,Spray Tank,25,Agriculture UAV,Build-your-own sprayer
