ESCID,Brand,Category,SubCategory,ESCType,ContinuousCurrent_A,BurstCurrent_A,SupportedVoltage,Firmware,InputProtocol,MountPattern_mm,BEC_Output,CoolingMethod,SupportedDroneType,IntendedUse
ESC-0001,Holybro,ESC,Electronic Speed Controller,Industrial ESC,55,60,3-6S,SimonK,DShot1200,20x20,N/A,Passive,FPV,Racing FPV
ESC-0002,T-Motor,ESC,Electronic Speed Controller,Single ESC,40,50,2-4S,BLHeli_32,Multishot,16x16,5V 3A,Active Cooling,FPV,Cinematic FPV
ESC-0003,Foxeer,ESC,Electronic Speed Controller,4-in-1 ESC,100,115,4-8S,SimonK,Oneshot125,16x16,5V 2A,Passive,FPV,Freestyle FPV
ESC-0004,AxisFlying,ESC,Electronic Speed Controller,Stack ESC,35,40,3-6S,BLHeli_32,DShot1200,20x20,5V 5A,Heatsink,FPV,Racing FPV
ESC-0005,HGLRC,ESC,Electronic Speed Controller,Industrial ESC,40,60,3-6S,SimonK,DShot600,20x20,5V 3A,Heatsink,FPV,Freestyle FPV
ESC-0006,TBS,ESC,Electronic Speed Controller,4-in-1 ESC,20,25,2-4S,AM32,Oneshot125,16x16,10V 2A,Heatsink,FPV,Racing FPV
ESC-0007,Lumenier,ESC,Electronic Speed Controller,4-in-1 ESC,40,45,2-4S,BLHeli_32,DShot1200,30x30,N/A,Heatsink,FPV,Cinematic FPV
ESC-0008,AxisFlying,ESC,Electronic Speed Controller,Single ESC,100,105,2-4S,SimonK,DShot1200,20x20,5V 5A,Active Cooling,FPV,Cinematic FPV
ESC-0009,T-Motor,ESC,Electronic Speed Controller,4-in-1 ESC,20,30,3-6S,AM32,DShot1200,20x20,10V 2A,Passive,FPV,Long Range FPV
ESC-0010,AxisFlying,ESC,Electronic Speed Controller,Stack ESC,30,45,3-6S,SimonK,DShot600,20x20,5V 2A,Passive,Industrial,Industrial UAV
ESC-0011,GEPRC,ESC,Electronic Speed Controller,Industrial ESC,100,120,4-8S,BLHeli_32,DShot1200,16x16,5V 3A,Heatsink,FPV,Long Range FPV
ESC-0012,Aikon,ESC,Electronic Speed Controller,Single ESC,35,55,6-12S,BLHeli_S,DShot1200,30x30,5V 2A,Active Cooling,FPV,Racing FPV
ESC-0013,RushFPV,ESC,Electronic Speed Controller,Single ESC,40,55,6-12S,BLHeli_S,DShot600,16x16,10V 2A,Heatsink,FPV,Long Range FPV
ESC-0014,AxisFlying,ESC,Electronic Speed Controller,Industrial ESC,45,50,4-8S,AM32,DShot600,16x16,5V 5A,Heatsink,Industrial,Industrial UAV
ESC-0015,Foxeer,ESC,Electronic Speed Controller,4-in-1 ESC,65,70,3-6S,AM32,Oneshot125,16x16,N/A,Active Cooling,Industrial,Industrial UAV
ESC-0016,T-Motor,ESC,Electronic Speed Controller,Single ESC,20,25,2-4S,BLHeli_S,Multishot,30x30,5V 2A,Passive,FPV,Cinematic FPV
ESC-0017,T-Motor,ESC,Electronic Speed Controller,Industrial ESC,100,115,4-8S,BLHeli_32,Oneshot125,20x20,N/A,Heatsink,FPV,Cinematic FPV
ESC-0018,SpeedyBee,ESC,Electronic Speed Controller,Single ESC,80,100,2-4S,BLHeli_32,DShot1200,20x20,5V 2A,Passive,FPV,Racing FPV
ESC-0019,Lumenier,ESC,Electronic Speed Controller,Single ESC,60,75,4-8S,SimonK,DShot300,16x16,5V 2A,Passive,FPV,Cinematic FPV
ESC-0020,Holybro,ESC,Electronic Speed Controller,Industrial ESC,50,55,6-12S,BLHeli_32,Multishot,16x16,N/A,Passive,FPV,Long Range FPV
ESC-0021,AxisFlying,ESC,Electronic Speed Controller,Stack ESC,45,60,3-6S,BLHeli_32,DShot600,30x30,5V 3A,Passive,FPV,Freestyle FPV
ESC-0022,Hobbywing,ESC,Electronic Speed Controller,Stack ESC,40,50,6-12S,AM32,DShot300,30x30,5V 5A,Heatsink,Industrial,Industrial UAV
ESC-0023,AxisFlying,ESC,Electronic Speed Controller,Stack ESC,30,50,3-6S,AM32,Multishot,16x16,N/A,Heatsink,FPV,Cinematic FPV
ESC-0024,AxisFlying,ESC,Electronic Speed Controller,4-in-1 ESC,80,100,6-12S,BLHeli_S,DShot600,20x20,5V 2A,Active Cooling,FPV,Cinematic FPV
ESC-0025,Aikon,ESC,Electronic Speed Controller,Stack ESC,55,65,4-8S,BLHeli_S,Multishot,16x16,10V 2A,Active Cooling,FPV,Long Range FPV
ESC-0026,Foxeer,ESC,Electronic Speed Controller,Stack ESC,100,115,4-8S,BLHeli_32,DShot600,16x16,5V 2A,Passive,FPV,Racing FPV
ESC-0027,Lumenier,ESC,Electronic Speed Controller,Industrial ESC,100,105,6-12S,SimonK,DShot1200,16x16,10V 2A,Heatsink,FPV,Cinematic FPV
ESC-0028,Diatone,ESC,Electronic Speed Controller,4-in-1 ESC,65,85,6-12S,BLHeli_S,DShot300,20x20,N/A,Heatsink,FPV,Racing FPV
ESC-0029,Aikon,ESC,Electronic Speed Controller,Stack ESC,80,85,2-4S,BLHeli_32,DShot600,20x20,5V 2A,Active Cooling,FPV,Racing FPV
ESC-0030,Lumenier,ESC,Electronic Speed Controller,4-in-1 ESC,65,85,4-8S,BLHeli_32,DShot1200,30x30,N/A,Passive,FPV,Racing FPV
ESC-0031,RushFPV,ESC,Electronic Speed Controller,4-in-1 ESC,50,55,2-4S,BLHeli_S,DShot1200,20x20,10V 2A,Heatsink,FPV,Long Range FPV
