ChargerID,Brand,Category,SubCategory,ChargerType,SupportedChemistry,MaxChargePower_W,InputVoltage,OutputCurrent_A,BalancerType,PortType,SupportedDroneType,IntendedUse
CHG-0001,ISDT,Chargers,Smart Charger,AC/DC Charger,LiPo/LiHV/Li-ion/LiFe,200,AC 100–240V / DC 10–30V,10,Integrated,XT60,FPV,Freestyle
CHG-0002,ISDT,Chargers,Smart Charger,DC Charger,LiPo/LiHV/Li-ion/LiFe,1000,DC 10–30V,30,Integrated,XT90,FPV,High Power FPV
CHG-0003,ISDT,Chargers,Smart Charger,AC Charger,LiPo/LiHV/Li-ion/LiFe,300,AC 100–240V,12,Integrated,XT60,FPV,Home Charging
CHG-0004,ISDT,Chargers,Smart Charger,Parallel Charger,LiPo/LiHV,500,DC 10–30V,20,External Board,XT60,FPV,Parallel Charging
CHG-0005,ISDT,Chargers,Smart Charger,Industrial Charger,LiPo/Li-ion,1200,DC 18–60V,25,Integrated,AS150,Industrial,Industrial UAV
CHG-0006,HOTA,Chargers,Smart Charger,AC/DC Charger,LiPo/LiHV/Li-ion/LiFe,200,AC 100–240V / DC 10–30V,10,Integrated,XT60,FPV,Dual Charging
CHG-0007,HOTA,Chargers,Smart Charger,AC/DC Charger,LiPo/LiHV/Li-ion/LiFe,650,AC 100–240V / DC 10–30V,15,Integrated,XT90,FPV,Advanced FPV
CHG-0008,HOTA,Chargers,Smart Charger,DC Charger,LiPo/LiHV/Li-ion/LiFe,1000,DC 10–30V,30,Integrated,XT90,FPV,Field Charging
CHG-0009,HOTA,Chargers,Smart Charger,Industrial Charger,LiPo/Li-ion,1500,DC 18–60V,30,Integrated,AS150,Industrial,Industrial UAV
CHG-0010,HOTA,Chargers,Smart Charger,Parallel Charger,LiPo/LiHV,600,DC 10–30V,25,External Board,XT60,FPV,Parallel Charging
CHG-0011,ToolkitRC,Chargers,Smart Charger,DC Charger,LiPo/LiHV/Li-ion/LiFe,200,DC 7–30V,10,Integrated,XT60,FPV,Portable Charging
CHG-0012,ToolkitRC,Chargers,Smart Charger,DC Charger,LiPo/LiHV/Li-ion/LiFe,600,DC 10–30V,20,Integrated,XT90,FPV,High Power FPV
CHG-0013,ToolkitRC,Chargers,Smart Charger,Signal Tester Charger,LiPo/Li-ion,150,DC 7–28V,8,Integrated,XT60,FPV,Testing + Charging
CHG-0014,ToolkitRC,Chargers,Smart Charger,Industrial Charger,LiPo/Li-ion,800,DC 18–50V,20,Integrated,AS150,Industrial,Survey UAV
CHG-0015,ToolkitRC,Chargers,Smart Charger,Parallel Charger,LiPo/LiHV,500,DC 10–30V,20,External Board,XT60,FPV,Parallel Charging
CHG-0016,SkyRC,Chargers,Smart Charger,AC/DC Charger,LiPo/LiHV/Li-ion/LiFe/NiMH,200,AC 100–240V / DC 11–18V,10,Integrated,XT60,FPV,General RC
CHG-0017,SkyRC,Chargers,Smart Charger,DC Charger,LiPo/LiHV/Li-ion/LiFe/NiMH,1000,DC 11–30V,30,Integrated,XT90,FPV,Advanced Charging
CHG-0018,SkyRC,Chargers,Smart Charger,AC Charger,LiPo/LiHV/Li-ion/LiFe/NiMH,300,AC 100–240V,12,Integrated,XT60,FPV,Home Charging
CHG-0019,SkyRC,Chargers,Smart Charger,Industrial Charger,LiPo/Li-ion,1800,DC 18–60V,35,Integrated,AS150,Industrial,Industrial UAV
CHG-0020,SkyRC,Chargers,Smart Charger,Parallel Charger,LiPo/LiHV,600,DC 10–30V,25,External Board,XT60,FPV,Parallel Charging
CHG-0021,Turnigy,Chargers,Smart Charger,AC/DC Charger,LiPo/Li-ion/LiFe/NiMH,200,AC 100–240V / DC 11–18V,10,Integrated,XT60,FPV,Budget Charger
CHG-0022,Turnigy,Chargers,Smart Charger,DC Charger,LiPo/Li-ion/LiFe/NiMH,600,DC 11–30V,20,Integrated,XT90,FPV,Field Charging
CHG-0023,Turnigy,Chargers,Smart Charger,Industrial Charger,LiPo/Li-ion,800,DC 18–50V,20,Integrated,AS150,Industrial,Industrial UAV
CHG-0024,Turnigy,Chargers,Smart Charger,Parallel Charger,LiPo/LiHV,500,DC 10–30V,20,External Board,XT60,FPV,Parallel Charging
CHG-0025,Turnigy,Chargers,Smart Charger,AC Charger,LiPo/Li-ion/LiFe/NiMH,150,AC 100–240V,7,Integrated,XT60,FPV,Home Charging
CHG-0026,Grepow,Chargers,Industrial Charger,Smart Charger,LiPo/Li-ion,2000,DC 18–60V,40,Integrated,AS150,Industrial,Heavy UAV
CHG-0027,Grepow,Chargers,Industrial Charger,Smart Charger,LiPo/Li-ion,3000,DC 30–72V,45,Integrated,AS150,Industrial,Heavy Lift UAV
CHG-0028,Grepow,Chargers,Industrial Charger,Battery Station,LiPo/Li-ion,4000,AC 200–240V,Multiple,Integrated,AS150,Industrial,UAV Fleet
CHG-0029,Grepow,Chargers,Industrial Charger,Field Charger,LiPo/Li-ion,1500,DC 24–48V,30,Integrated,AS150,Industrial,Field Ops
CHG-0030,Grepow,Chargers,Industrial Charger,Smart Dock,Li-ion,2500,AC 200–240V,Auto,Integrated,Dock,Industrial,Autonomous UAV
CHG-0031,Tattu,Chargers,Industrial Charger,Smart Charger,LiPo/Li-ion,2000,DC 18–60V,40,Integrated,AS150,Industrial,Industrial UAV
CHG-0032,Tattu,Chargers,Industrial Charger,Battery Station,LiPo/Li-ion,3500,AC 200–240V,Multi,Integrated,AS150,Industrial,UAV Fleet
CHG-0033,Tattu,Chargers,Industrial Charger,Field Charger,LiPo/Li-ion,1800,DC 24–48V,35,Integrated,AS150,Industrial,Field Charging
CHG-0034,Tattu,Chargers,Industrial Charger,Smart Dock,Li-ion,3000,AC 200–240V,Auto,Integrated,Dock,Industrial,Autonomous UAV
CHG-0035,Tattu,Chargers,Industrial Charger,Parallel Charger,LiPo,1200,DC 18–60V,25,External Board,AS150,Industrial,Parallel Charging
CHG-0036,Ultra Power,Chargers,Smart Charger,AC/DC Charger,LiPo/Li-ion/LiFe/NiMH,200,AC 100–240V / DC 11–18V,10,Integrated,XT60,FPV,General RC
CHG-0037,Ultra Power,Chargers,Smart Charger,DC Charger,LiPo/Li-ion/LiFe/NiMH,600,DC 11–30V,20,Integrated,XT90,FPV,Field Charging
CHG-0038,Ultra Power,Chargers,Smart Charger,AC Charger,LiPo/Li-ion/LiFe/NiMH,150,AC 100–240V,7,Integrated,XT60,FPV,Home Charging
CHG-0039,Ultra Power,Chargers,Smart Charger,Parallel Charger,LiPo,500,DC 10–30V,20,External Board,XT60,FPV,Parallel Charging
CHG-0040,Ultra Power,Chargers,Smart Charger,Industrial Charger,LiPo/Li-ion,1000,DC 18–50V,25,Integrated,AS150,Industrial,Industrial UAV
CHG-0041,Custom,Chargers,Industrial Charger,Generator Charger,LiPo/Li-ion,5000,AC Generator Input,Auto,Integrated,AS150,Industrial,Remote Ops
CHG-0042,Custom,Chargers,Industrial Charger,Solar Charger,LiPo/Li-ion,800,Solar Input,Auto,Integrated,AS150,Industrial,Remote Ops
CHG-0043,Custom,Chargers,Industrial Charger,Vehicle Charger,LiPo/Li-ion,1200,DC 12–48V,30,Integrated,AS150,Industrial,Mobile Ops
CHG-0044,Custom,Chargers,Industrial Charger,Rack Charger,LiPo/Li-ion,6000,AC 200–240V,Multi,Integrated,AS150,Industrial,UAV Fleet
CHG-0045,Custom,Chargers,Industrial Charger,Smart Dock Charger,Li-ion,3500,AC 200–240V,Auto,Integrated,Dock,Industrial,Autonomous UAV
CHG-0046,Custom,Chargers,Smart Charger,USB Charger,Li-ion,20,USB-C PD,3,None,USB-C,FPV,Whoop Charging
CHG-0047,Custom,Chargers,Smart Charger,Multi-USB Charger,Li-ion,60,USB-C PD,6,None,USB-C,FPV,Whoop Fleet
CHG-0048,Custom,Chargers,Smart Charger,Board Charger,LiPo,300,DC 10–30V,15,External Board,XT60,FPV,Board Charging
CHG-0049,Custom,Chargers,Industrial Charger,BMS Charger,Li-ion,2000,DC 18–60V,Auto,BMS Managed,AS150,Industrial,Smart Battery
CHG-0050,Custom,Chargers,Industrial Charger,Defense Charger,Li-ion,4000,AC 200–240V,Auto,Encrypted,AS150,Industrial,Defense UAV
CHG-0051,ISDT,Chargers,Smart Charger,DC Charger,LiPo/LiHV/Li-ion/LiFe,2000,DC 18–60V,40,Integrated,AS150,Industrial,High Voltage UAV
CHG-0052,ISDT,Chargers,Smart Charger,Multi-Channel Charger,LiPo/Li-ion,800,DC 10–30V,15,Integrated,XT60,FPV,Multi Battery Charging
CHG-0053,ISDT,Chargers,Smart Charger,Balance Charger,LiPo/Li-ion/LiFe,300,DC 10–30V,12,Integrated,XT60,FPV,Precision Charging
CHG-0054,HOTA,Chargers,Smart Charger,Multi-Channel Charger,LiPo/Li-ion/LiFe,1000,DC 10–30V,20,Integrated,XT60,FPV,Multi Battery Charging
CHG-0055,HOTA,Chargers,Smart Charger,Suitcase Charger,LiPo/Li-ion,2500,AC 200–240V,Auto,Integrated,AS150,Industrial,Field Operations
CHG-0056,SkyRC,Chargers,Smart Charger,Multi-Channel Charger,LiPo/Li-ion/LiFe/NiMH,1200,AC 200–240V,20,Integrated,XT60,FPV,Multi Pack Charging
CHG-0057,SkyRC,Chargers,Smart Charger,Lab Charger,LiPo/Li-ion/LiFe/NiMH,1500,DC 18–60V,30,Integrated,XT90,Industrial,Test & Validation
CHG-0058,SkyRC,Chargers,Smart Charger,Fast Charger,Li-ion,1000,DC 18–60V,25,Integrated,XT90,Industrial,Fast Turnaround
CHG-0059,ToolkitRC,Chargers,Smart Charger,Multi-Channel Charger,LiPo/Li-ion,600,DC 10–30V,12,Integrated,XT60,FPV,Multi Charging
CHG-0060,ToolkitRC,Chargers,Smart Charger,Lab Charger,LiPo/Li-ion/LiFe,1200,DC 18–60V,25,Integrated,XT90,Industrial,Lab Testing
CHG-0061,Turnigy,Chargers,Smart Charger,Multi-Channel Charger,LiPo/Li-ion/LiFe,800,DC 10–30V,15,Integrated,XT60,FPV,Parallel Alternative
CHG-0062,Turnigy,Chargers,Smart Charger,Suitcase Charger,LiPo/Li-ion,2000,AC 200–240V,Auto,Integrated,AS150,Industrial,Field UAV Ops
CHG-0063,Grepow,Chargers,Industrial Charger,Fast Charger,Li-ion,2500,DC 24–60V,40,Integrated,AS150,Industrial,Fast UAV Turnaround
