Country,BasePlatformID,PlatformName,VariantName,VariantType,Manufacturer,Sector,DroneClass,RolePrimary,RoleSecondary,LaunchType,RecoveryType,PropulsionType,Wingspan_m,MTOW_kg,MaxPayload_kg,Endurance_hr,OperationalRange_km,DataLinkRange_km,CruiseSpeed_kmh,MaxSpeed_kmh,ServiceCeiling_m,PowerSource,ArmamentCapable,SensorTypes,IntroductionYear,Status,Notes
Ukraine,UA_TB2,Bayraktar TB2,TB2,Production Variant,Baykar,Military,MALE,ISR,Strike,Runway,Runway,Propeller,12,700,150,27,300,N/A,130,220,8200,Internal Fuel,Yes,EO/IR Laser Designator,2021,Active,Operated by Ukrainian forces
Ukraine,UA_SOKIL,Sokil-300,Sokil-300,Prototype,Luch Design Bureau,Military,MALE,Strike,ISR,Runway,Runway,Propeller,N/A,1225,300,N/A,1300,N/A,N/A,N/A,N/A,Internal Fuel,Yes,EO/IR,2021,Development,Indigenous MALE strike UAV
Ukraine,UA_SPECTATOR,Spectator-M1,Spectator-M1,Production Variant,Meridian,Military,Tactical,ISR,None,Hand Launch,Parachute,Electric,N/A,5.5,N/A,120,35,N/A,90,120,3000,Battery,No,EO/IR,2019,Active,Short-range battlefield ISR
Ukraine,UA_FURIA,Furia,Furia,Production Variant,Athlon Avia,Military,Tactical,ISR,Artillery Spotting,Catapult,Parachute,Propeller,N/A,6,N/A,180,50,N/A,65,130,2000,Fuel,No,EO/IR,2014,Active,Artillery correction UAV
Ukraine,UA_LELEKA,Leleka-100,Leleka-100,Production Variant,DeViRo,Military,Tactical,ISR,None,Catapult,Parachute,Propeller,N/A,5.5,N/A,150,40,N/A,65,120,2000,Fuel,No,EO/IR,2015,Active,Widely deployed tactical UAV
Ukraine,UA_PDJ,PD-1,PD-1,Production Variant,Ukrspecsystems,Military,Small Tactical,ISR,None,Runway,Runway,Propeller,5,33,N/A,10,200,N/A,90,140,3000,Fuel,No,EO/IR,2016,Active,Short-range fixed-wing UAV
Ukraine,UA_PDJ2,PD-2,PD-2,Improved Variant,Ukrspecsystems,Military,Tactical,ISR,Surveillance,Runway,Runway,Propeller,5,55,N/A,10,200,N/A,100,140,3000,Fuel,No,EO/IR,2019,Active,VTOL-capable configurations exist
Ukraine,UA_SWITCHBLADE,Switchblade 300,Switchblade 300,Production Variant,AeroVironment,Military,Loitering Munition,Strike,None,Tube Launch,Impact,Electric,N/A,2.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Battery,Yes,EO,2022,Active,Provided via military aid
Ukraine,UA_SWITCHBLADE600,Switchblade 600,Switchblade 600,Production Variant,AeroVironment,Military,Loitering Munition,Strike,None,Tube Launch,Impact,Electric,N/A,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Battery,Yes,EO/IR,2022,Active,Anti-armor loitering munition
Ukraine,UA_RAMII,RAM II,RAM II,Production Variant,UKRSPETSSYSTEMS,Military,Loitering Munition,Strike,None,Catapult,Impact,Electric,N/A,8,N/A,40,30,N/A,80,120,N/A,Battery,Yes,EO,2021,Active,Indigenous loitering munition
Ukraine,UA_BEAVER,Beaver UAV,Beaver,Production Variant,Ukrainian Industry,Military,One-Way Attack,Strike,None,Runway,Impact,Propeller,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal Fuel,Yes,N/A,2023,Active,Long-range strike UAV
Ukraine,UA_UJ22,UJ-22 Airborne,UJ-22,Production Variant,Ukrjet,Military,One-Way Attack,Strike,ISR,Runway,Impact,Propeller,4.5,85,N/A,N/A,N/A,N/A,120,160,6000,Fuel,Yes,EO/IR,2021,Active,Multi-role strike UAV
