Country,BasePlatformID,PlatformName,VariantName,VariantType,Manufacturer,Sector,DroneClass,RolePrimary,RoleSecondary,LaunchType,RecoveryType,PropulsionType,Wingspan_m,MTOW_kg,MaxPayload_kg,Endurance_hr,OperationalRange_km,DataLinkRange_km,CruiseSpeed_kmh,MaxSpeed_kmh,ServiceCeiling_m,PowerSource,ArmamentCapable,SensorTypes,IntroductionYear,Status,Notes
India,IN_HERON,Heron,Heron 1,Production Variant,IAI,Military,MALE,ISR,Surveillance,Runway,Runway,Propeller,16.6,1150,250,45,1000,N/A,150,207,10000,Internal Fuel,No,EO/IR SAR,2005,Active,Primary long-endurance UAV in service
India,IN_HERON,Heron,Heron TP,Heavy Variant,IAI,Military,HALE,ISR,Strike,Runway,Runway,Turboprop,26,4650,1000,36,1500,N/A,250,460,14000,Internal Fuel,Yes,EO/IR SAR SIGINT,2010,Active,Strategic UAV variant
India,IN_PREDATOR,Predator,SeaGuardian MQ-9B,Maritime Variant,General Atomics,Military,MALE,Maritime ISR,Strike,Runway,Runway,Propeller,24,5670,1700,40,3000,N/A,300,480,15000,Internal Fuel,Yes,EO/IR SAR Maritime Radar,2024,On Order,Procured for tri-service use
India,IN_RUSTOM,Rustom-II,TAPAS BH-201,Production Variant,DRDO,Military,MALE,ISR,Surveillance,Runway,Runway,Propeller,N/A,1800,N/A,24,250,N/A,180,225,9000,Internal Fuel,No,EO/IR SAR,2023,Limited Service,Indigenous MALE UAV
India,IN_GHATAK,Ghatak,Ghatak UCAV,Prototype,DRDO,Military,UCAV,Strike,ISR,Runway,Runway,Jet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jet Fuel,Yes,N/A,N/A,Experimental,Stealth UCAV program
India,IN_SEARCHER,Searcher,Searcher Mk II,Production Variant,IAI,Military,Tactical,ISR,Surveillance,Runway,Runway,Propeller,8.55,430,120,18,300,N/A,120,200,6000,Internal Fuel,No,EO/IR,2002,Active,Tactical ISR UAV
India,IN_NISHANT,Nishant,Nishant,Production Variant,DRDO,Military,Tactical,ISR,None,Catapult,Parachute,Propeller,6.5,380,N/A,4,160,N/A,90,130,3600,Internal Fuel,No,EO/IR,2000,Retired,Early indigenous UAV
India,IN_NETRA,Netra,Netra V2,Improved Variant,ideaForge,Military,Small Tactical,ISR,Urban Ops,Hand Launch,Vertical Landing,Electric,N/A,1.5,N/A,30,5,N/A,40,60,300,Battery,No,EO/IR,2016,Active,Urban and close-range ISR
India,IN_SWITCH,Switch,Switch Mini,Production Variant,ideaForge,Military,Small Tactical,ISR,None,Hand Launch,Belly Landing,Electric,N/A,2,N/A,120,15,N/A,65,90,1000,Battery,No,EO/IR,2020,Active,Short-range patrol UAV
India,IN_BLACKHORNET,Black Hornet,Black Hornet Nano,Production Variant,FLIR Systems,Military,Micro,ISR,None,Hand Launch,Vertical Landing,Electric,N/A,0.018,N/A,25,2,N/A,10,20,100,Battery,No,EO,2021,Active,Nano UAV for infantry units
India,IN_HAROP,Harop,Harop,Production Variant,IAI,Military,Loitering Munition,Strike,None,Canister Launch,Impact,Propeller,3,135,N/A,6,1000,N/A,185,N/A,N/A,Internal Fuel,Yes,EO/IR,2009,Active,Anti-radiation loitering munition
India,IN_ALFA,ALFA-S,ALFA-S,Prototype,DRDO,Military,Loitering Munition,Strike,Swarm,Air Launch,Impact,Jet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jet Fuel,Yes,N/A,2021,Experimental,Air-launched swarm munition
