Country,BasePlatformID,PlatformName,VariantName,VariantType,Manufacturer,Sector,DroneClass,RolePrimary,RoleSecondary,LaunchType,RecoveryType,PropulsionType,Wingspan_m,MTOW_kg,MaxPayload_kg,Endurance_hr,OperationalRange_km,DataLinkRange_km,CruiseSpeed_kmh,MaxSpeed_kmh,ServiceCeiling_m,PowerSource,ArmamentCapable,SensorTypes,IntroductionYear,Status,Notes
Iran,IR_SHAHED129,Shahed-129,Shahed-129,Production Variant,HESA,Military,MALE,ISR,Strike,Runway,Runway,Propeller,16,1100,400,24,1700,N/A,150,220,7300,Internal Fuel,Yes,EO/IR,2014,Active,Long-endurance MALE UAV
Iran,IR_SHAHED149,Shahed-149 Gaza,Gaza,Heavy Variant,HESA,Military,HALE,ISR,Strike,Runway,Runway,Propeller,N/A,3100,N/A,35,2000,N/A,150,220,N/A,Internal Fuel,Yes,EO/IR SAR,2021,Active,Heavy long-endurance UAV
Iran,IR_MOHAJER6,Mohajer-6,Mohajer-6,Production Variant,Qods Aviation,Military,MALE,ISR,Strike,Runway,Runway,Propeller,10,600,150,12,200,N/A,140,200,5400,Internal Fuel,Yes,EO/IR,2018,Active,Widely deployed armed UAV
Iran,IR_ABABIL3,Ababil-3,Ababil-3,Production Variant,HESA,Military,Tactical,ISR,None,Catapult,Parachute,Propeller,7.3,200,N/A,4,150,N/A,120,180,5000,Internal Fuel,No,EO/IR,2009,Active,Tactical surveillance UAV
Iran,IR_MOHAJER4,Mohajer-4,Mohajer-4,Production Variant,Qods Aviation,Military,Tactical,ISR,None,Runway,Runway,Propeller,5.3,170,N/A,6,150,N/A,120,160,4500,Internal Fuel,No,EO/IR,2003,Active,Legacy tactical UAV
Iran,IR_FOTROS,Fotros,Fotros,Prototype,HESA,Military,MALE,ISR,Strike,Runway,Runway,Propeller,16,N/A,N/A,30,2000,N/A,N/A,N/A,N/A,Internal Fuel,Yes,EO/IR,2013,Development,Limited public information
Iran,IR_YASIR,Yasir,Yasir,Production Variant,Iranian Industry,Military,Small Tactical,ISR,None,Hand Launch,Belly Landing,Electric,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Battery,No,EO/IR,2014,Active,Reverse-engineered design lineage
Iran,IR_SADEGH,Sadegh,Sadegh,Production Variant,Iranian Industry,Military,Small Tactical,ISR,None,Hand Launch,Belly Landing,Electric,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Battery,No,EO/IR,2016,Active,Short-range ISR UAV
Iran,IR_SHAHED131,Shahed-131,Shahed-131,Production Variant,HESA,Military,Loitering Munition,Strike,None,Rack Launch,Impact,Propeller,N/A,135,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal Fuel,Yes,EO,2021,Active,Compact one-way UAV
Iran,IR_SHAHED136,Shahed-136,Shahed-136,Production Variant,HESA,Military,Loitering Munition,Strike,None,Rack Launch,Impact,Propeller,2.5,200,N/A,N/A,2000,N/A,185,N/A,N/A,Internal Fuel,Yes,EO,2021,Active,Long-range one-way UAV
Iran,IR_ARASH2,Arash-2,Arash-2,Heavy Variant,Iranian Industry,Military,Loitering Munition,Strike,None,Rack Launch,Impact,Propeller,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal Fuel,Yes,N/A,2022,Active,Heavy long-range loitering munition
Iran,IR_KAMAN22,Kaman-22,Kaman-22,Production Variant,Qods Aviation,Military,MALE,ISR,Strike,Runway,Runway,Propeller,N/A,3000,N/A,24,3000,N/A,140,220,N/A,Internal Fuel,Yes,EO/IR SAR,2021,Active,Long-range strike UAV
Iran,IR_SHAHED191,Shahed-191,Shahed-191,Stealth Variant,HESA,Military,UCAV,Strike,ISR,Runway,Runway,Jet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jet Fuel,Yes,EO/IR,2019,Active,Jet-powered UCAV
Iran,IR_SHAHED181,Shahed-181,Shahed-181,Stealth Variant,HESA,Military,UCAV,Strike,ISR,Runway,Runway,Jet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jet Fuel,Yes,EO/IR,2016,Active,Flying-wing UCAV
