RadioID,Brand,Category,SubCategory,DeviceType,Protocol,FrequencyBand,ChannelCount,TelemetrySupport,AntennaType,ConnectorType,PowerOutput_mW,SupportedDroneType,IntendedUse
RAD-0001,Radiomaster,Radios & Receivers,Radio Transmitter,Handheld TX,ELRS,2.4GHz,16,Yes,External SMA,USB-C,1000,FPV,Freestyle
RAD-0002,Radiomaster,Radios & Receivers,Radio Transmitter,Handheld TX,ELRS,900MHz,16,Yes,External SMA,USB-C,1000,FPV,Long Range
RAD-0003,Radiomaster,Radios & Receivers,Radio Transmitter,Handheld TX,Multi-Protocol,2.4GHz,16,Yes,External SMA,USB-C,100,FPV,General FPV
RAD-0004,FrSky,Radios & Receivers,Radio Transmitter,Handheld TX,ACCESS,2.4GHz,24,Yes,External SMA,USB,100,FPV / Fixed Wing,General RC
RAD-0005,FrSky,Radios & Receivers,Radio Transmitter,Handheld TX,ACCST,2.4GHz,16,Yes,External SMA,USB,100,FPV,Legacy RC
RAD-0006,TBS,Radios & Receivers,Radio Transmitter,Handheld TX,Crossfire,900MHz,12,Yes,External SMA,USB-C,2000,FPV,Long Range
RAD-0007,TBS,Radios & Receivers,Radio Transmitter,Handheld TX,Tracer,2.4GHz,12,Yes,External SMA,USB-C,1000,FPV,Low Latency
RAD-0008,Jumper,Radios & Receivers,Radio Transmitter,Handheld TX,Multi-Protocol,2.4GHz,16,Yes,External SMA,USB-C,150,FPV,General FPV
RAD-0009,FlySky,Radios & Receivers,Radio Transmitter,Handheld TX,AFHDS 2A,2.4GHz,10,Yes,External SMA,USB,100,FPV / Fixed Wing,Beginner RC
RAD-0010,FlySky,Radios & Receivers,Radio Transmitter,Handheld TX,AFHDS 3,2.4GHz,18,Yes,External SMA,USB-C,100,FPV / Fixed Wing,General RC
RAD-0011,Radiomaster,Radios & Receivers,Radio Transmitter,Gamepad TX,ELRS,2.4GHz,16,Yes,Internal Antenna,USB-C,250,FPV,Portable FPV
RAD-0012,Radiomaster,Radios & Receivers,Radio Transmitter,Gamepad TX,ELRS,900MHz,16,Yes,External SMA,USB-C,1000,FPV,Long Range
RAD-0013,TBS,Radios & Receivers,Radio Transmitter,Module TX,Crossfire,900MHz,12,Yes,External SMA,JR Bay,2000,FPV,Long Range
RAD-0014,TBS,Radios & Receivers,Radio Transmitter,Module TX,Tracer,2.4GHz,12,Yes,External SMA,JR Bay,1000,FPV,Racing
RAD-0015,Happymodel,Radios & Receivers,Radio Transmitter,Module TX,ELRS,2.4GHz,16,Yes,External SMA,JR Bay,1000,FPV,Open Source FPV
